GIULIA;9.624;3,47;3,47
SOFIA;8.972;3,23;6,7
MARTINA;7.327;2,64;9,34
SARA;7.119;2,57;11,91
CHIARA;6.457;2,33;14,24
GIORGIA;5.770;2,08;16,31
AURORA;5.086;1,83;18,15
ALESSIA;4.996;1,8;19,95
FRANCESCA;4.379;1,58;21,53
ALICE;4.324;1,56;23,09
ANNA;3.850;1,39;24,47
ELISA;3.617;1,3;25,78
GIADA;3.484;1,26;27,03
EMMA;3.166;1,14;28,17
MATILDE;3.052;1,1;29,27
GAIA;3.042;1,1;30,37
ELENA;2.944;1,06;31,43
BEATRICE;2.784;1;32,43
NOEMI;2.581;0,93;33,36
REBECCA;2.366;0,85;34,22
FEDERICA;2.339;0,84;35,06
ARIANNA;2.326;0,84;35,9
ASIA;2.251;0,81;36,71
GRETA;2.229;0,8;37,51
ILARIA;2.186;0,79;38,3
VITTORIA;2.082;0,75;39,05
LUDOVICA;2.080;0,75;39,8
VALENTINA;2.030;0,73;40,53
MARTA;2.023;0,73;41,26
NICOLE;2.001;0,72;41,98
