alba;116277
alejandra;69528
alicia;120292
amparo;109966
ana belen;60841
ana isabel;76535
ana maria;281533
ana;826040
andrea;138140
angela;133314
angeles;333908
anna;61518
antonia;337408
asuncion;84650
aurora;71097
beatriz;164063
begoña;84102
belen;149164
blanca;67631
carla;62667
carmen;1280348
carolina;88673
catalina;77087
celia;60889
clara;63448
claudia;87073
concepcion;257132
consuelo;86802
cristina;334709
daniela;54387
dolores;542773
elena;275596
elisa;61034
elvira;50351
emilia;72920
encarnacion;156150
esperanza;76542
esther;143931
eugenia;61130
eva maria;62835
eva;160297
fatima;68059
francisca;295541
gema;53141
gloria;99088
ines;89983
inmaculada;127281
irene;123122
isabel;696367
jesus;168291
jose;213294
josefa;455283
josefina;60501
juana;198143
julia;146777
laura;289716
lidia;67974
lorena;80684
lourdes;92080
lucia;213352
luisa;262449
luz;86861
magdalena;69869
manuela;183881
mar;119016
margarita;126709
maria angeles;234432
maria antonia;60529
maria carmen;681108
maria concepcion;63935
maria cristina;46501
maria dolores;273002
maria elena;60020
maria isabel;207464
maria jesus;145275
maria jose;207548
maria josefa;93760
maria luisa;174308
maria mar;100228
maria mercedes;77338
maria nieves;54352
maria pilar;271733
maria rosa;66784
maria rosario;83246
maria soledad;47952
maria teresa;263124
maria victoria;64998
maria;6424495
marina;114441
marta;246179
mercedes;262473
milagros;76928
miriam;66979
monica;127549
montserrat;139860
natalia;102174
nerea;61723
nieves;100237
noelia;81255
nuria;135329
olga;74131
patricia;161423
paula;168339
pilar;494829
purificacion;59076
raquel;171636
remedios;55766
rocio;155782
rosa maria;149558
rosa;424271
rosario;247785
sandra;125340
sara;170789
silvia;142816
sofia;69063
soledad;94461
sonia;122889
susana;118570
teresa;447427
trinidad;55377
vanesa;54479
veronica;91607
vicenta;53483
victoria;158315
virginia;57975
yolanda;124747
